benchmark,task,online_env_steps,native_success_rate,native_avg_return,native_online_updates,mean_success_rate,mean_avg_return,mean_online_updates,sampled_success_rate,sampled_avg_return,sampled_online_updates
antmaze-large,1,100000,0.97,-407.22,95001,0.96,-584.57,5625,0.97,-588.14,5625
antmaze-large,2,100000,0.85,-592.49,95001,0.84,-663.46,5625,0.79,-689.59,5625
antmaze-large,3,100000,0.97,-297.0,95001,0.93,-361.08,5625,0.9,-378.36,5625
antmaze-large,4,100000,0.92,-421.62,95001,0.0,-1000.0,5625,0.0,-1000.0,5625
antmaze-large,5,100000,0.94,-416.03,95001,0.9,-488.8,5625,0.92,-496.31,5625
cube-double,1,100000,1.0,-58.09,95001,0.99,-99.57,5625,0.98,-100.73,5625
cube-double,2,100000,0.99,-190.43,95001,0.89,-297.63,5625,0.91,-301.07,5625
cube-double,3,100000,1.0,-193.59,95001,0.49,-467.18,5625,0.38,-511.41,5625
cube-double,4,100000,0.93,-426.8,95001,0.05,-925.98,5625,0.07,-872.39,5625
cube-double,5,100000,0.98,-204.37,95001,0.79,-390.93,5625,0.74,-419.69,5625
