benchmark,task,method,evaluation_mode,online_env_steps,online_gradient_updates,success_rate,avg_return,new_run_wall_seconds,source
antmaze-large,1,dawn,mean,100000,5625,0.96,-584.57,938.6418661400676,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task1/dawn/eval_100000_100_mean_residual.json
antmaze-large,1,dawn,sampled,100000,5625,0.97,-588.14,938.6418661400676,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task1/dawn/eval_100000_100.json
antmaze-large,2,dawn,mean,100000,5625,0.84,-663.46,979.4359524212778,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task2/dawn/eval_100000_100_mean_residual.json
antmaze-large,2,dawn,sampled,100000,5625,0.79,-689.59,979.4359524212778,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task2/dawn/eval_100000_100.json
antmaze-large,3,dawn,mean,100000,5625,0.93,-361.08,739.0022273994982,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task3/dawn/eval_100000_100_mean_residual.json
antmaze-large,3,dawn,sampled,100000,5625,0.9,-378.36,739.0022273994982,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task3/dawn/eval_100000_100.json
antmaze-large,4,dawn,mean,100000,5625,0.0,-1000.0,1374.771593581885,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task4/dawn/eval_100000_100_mean_residual.json
antmaze-large,4,dawn,sampled,100000,5625,0.0,-1000.0,1374.771593581885,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task4/dawn/eval_100000_100.json
antmaze-large,5,dawn,mean,100000,5625,0.9,-488.8,879.090247374028,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task5/dawn/eval_100000_100_mean_residual.json
antmaze-large,5,dawn,sampled,100000,5625,0.92,-496.31,879.090247374028,/root/autodl-tmp/qam_antmaze_scale100k_dawn/results/task5/dawn/eval_100000_100.json
antmaze-large,1,native,native,100000,95001,0.97,-407.22,731.6307736448944,/root/autodl-tmp/qam_antmaze_scale100k_native/results/task1/native/fixed_eval/eval_100000_100.json
antmaze-large,2,native,native,100000,95001,0.85,-592.49,751.543079610914,/root/autodl-tmp/qam_antmaze_scale100k_native/results/task2/native/fixed_eval/eval_100000_100.json
antmaze-large,3,native,native,100000,95001,0.97,-297.0,707.1197699271142,/root/autodl-tmp/qam_antmaze_scale100k_native/results/task3/native/fixed_eval/eval_100000_100.json
antmaze-large,4,native,native,100000,95001,0.92,-421.62,722.2689440660179,/root/autodl-tmp/qam_antmaze_scale100k_native/results/task4/native/fixed_eval/eval_100000_100.json
antmaze-large,5,native,native,100000,95001,0.94,-416.03,730.2699353322387,/root/autodl-tmp/qam_antmaze_scale100k_native/results/task5/native/fixed_eval/eval_100000_100.json
cube-double,1,native,native,100000,95001,1.0,-58.09,532.0644049942493,/root/qam_dawn_outputs/scale100k_20260914/results/task1/native/eval_100000_100.json
cube-double,1,dawn,mean,100000,5625,0.99,-99.57,767.3968870788813,/root/qam_dawn_outputs/scale100k_20260914/results/task1/dawn/eval_100000_100_mean_residual.json
cube-double,1,dawn,sampled,100000,5625,0.98,-100.73,767.3968870788813,/root/qam_dawn_outputs/scale100k_20260914/results/task1/dawn/eval_100000_100.json
cube-double,2,native,native,100000,95001,0.99,-190.43,574.8074937611818,/root/qam_dawn_outputs/scale100k_20260914/results/task2/native/eval_100000_100.json
cube-double,2,dawn,mean,100000,5625,0.89,-297.63,977.5862085819244,/root/qam_dawn_outputs/scale100k_20260914/results/task2/dawn/eval_100000_100_mean_residual.json
cube-double,2,dawn,sampled,100000,5625,0.91,-301.07,977.5862085819244,/root/qam_dawn_outputs/scale100k_20260914/results/task2/dawn/eval_100000_100.json
cube-double,3,native,native,100000,95001,1.0,-193.59,548.6124708801508,/root/qam_dawn_outputs/scale100k_20260914/results/task3/native/eval_100000_100.json
cube-double,3,dawn,mean,100000,5625,0.49,-467.18,1219.7890133559704,/root/qam_dawn_outputs/scale100k_20260914/results/task3/dawn/eval_100000_100_mean_residual.json
cube-double,3,dawn,sampled,100000,5625,0.38,-511.41,1219.7890133559704,/root/qam_dawn_outputs/scale100k_20260914/results/task3/dawn/eval_100000_100.json
cube-double,4,native,native,100000,95001,0.93,-426.8,589.4566140472889,/root/qam_dawn_outputs/scale100k_20260914/results/task4/native/eval_100000_100.json
cube-double,4,dawn,mean,100000,5625,0.05,-925.98,1499.6662013679743,/root/qam_dawn_outputs/scale100k_20260914/results/task4/dawn/eval_100000_100_mean_residual.json
cube-double,4,dawn,sampled,100000,5625,0.07,-872.39,1499.6662013679743,/root/qam_dawn_outputs/scale100k_20260914/results/task4/dawn/eval_100000_100.json
cube-double,5,native,native,100000,95001,0.98,-204.37,582.7406835705042,/root/qam_dawn_outputs/scale100k_20260914/results/task5/native/eval_100000_100.json
cube-double,5,dawn,mean,100000,5625,0.79,-390.93,1131.7424080073833,/root/qam_dawn_outputs/scale100k_20260914/results/task5/dawn/eval_100000_100_mean_residual.json
cube-double,5,dawn,sampled,100000,5625,0.74,-419.69,1131.7424080073833,/root/qam_dawn_outputs/scale100k_20260914/results/task5/dawn/eval_100000_100.json
